PaymentID,VendorID,VendorName,InvoiceNumber,InvoiceDate,DueDate,PaymentDate,PaymentAmount,PaymentMethod,Currency,InvoiceCategory,Comments,DiscountPercentage,CommentSentiment,Industry
27,13,"Faulkner, Mccormick and English",INV9675,2024-03-21,2024-04-20,2024-04-20,6875.03,Credit Card,GBP,Goods,Visit look skill win force world.,0.0,-0.65,Manufacturing
28,85,"Murphy, Golden and Tran",INV0287,2023-01-08,2023-03-14,2023-03-15,14394.69,ACH,EUR,Services,Interest specific method vote.,4.14,0.59,IT Services
29,30,Powell PLC,INV2627,2023-11-14,2023-12-19,2023-12-28,4757.99,Wire Transfer,USD,Consulting,Until view only mind.,0.0,-0.31,Consulting
30,54,Hawkins PLC,INV2404,2023-07-12,2023-08-16,2023-08-16,11343.69,ACH,GBP,Consulting,Different value executive quickly buy performance some party.,1.77,0.79,Consulting
31,49,Gamble PLC,INV1533,2023-11-23,2024-01-27,2024-01-27,3309.54,Check,GBP,Consulting,Question fall that simple win member to figure.,0.0,-0.91,Retail
32,92,Cortez PLC,INV7882,2024-01-10,2024-03-10,2024-03-10,2440.41,ACH,GBP,Goods,Culture line let management Mr range ten.,0.0,-0.51,Consulting
33,62,Campbell-Stewart,INV1052,2023-10-12,2023-11-16,2023-11-16,6950.4,Check,USD,Consulting,Present back others institution free tell economic.,0.0,-0.57,Healthcare
34,92,Cortez PLC,INV6486,2023-02-17,2023-04-13,2023-04-16,5524.1,ACH,EUR,Services,Method dream power fill age able.,0.0,-0.27,Consulting
35,89,Beasley-Sanchez,INV9924,2023-11-18,2024-01-22,2024-01-22,8849.13,Wire Transfer,USD,Goods,Couple baby hard note low enjoy.,3.44,0.87,Manufacturing
36,1,Gibson-Patterson,INV4654,2024-01-11,2024-03-11,2024-03-19,11098.74,Check,USD,Goods,Claim near rate movie finally.,4.7,0.54,Manufacturing
37,19,Hill Inc,INV5220,2023-12-14,2024-01-23,2024-02-03,15482.41,Check,EUR,Services,Necessary painting fund high news method themselves wait.,1.06,-0.56,Healthcare
38,13,"Faulkner, Mccormick and English",INV0944,2024-03-21,2024-04-25,2024-04-30,10030.63,Check,GBP,Goods,Might position executive point.,3.49,0.76,Manufacturing
39,86,Reed LLC,INV1014,2023-07-12,2023-08-11,2023-08-23,5654.6,ACH,USD,Goods,Many job could drive rock him international.,0.0,0.19,Retail
40,11,"Orr, Mckinney and Meyer",INV5558,2023-03-07,2023-04-01,2023-04-01,7463.55,Check,EUR,Services,Add magazine air eight as power class.,4.33,-0.05,Healthcare
41,49,Gamble PLC,INV7109,2024-01-15,2024-03-20,2024-03-20,3008.28,ACH,GBP,Services,Daughter space high article.,0.0,-0.29,Retail
42,91,Hall Group,INV9977,2023-11-12,2024-01-01,2024-01-01,6397.07,Check,GBP,Services,Play instead whose deep nice.,4.77,0.94,Retail
43,40,Nicholson Group,INV3274,2024-02-01,2024-03-02,2024-03-02,2996.23,Check,GBP,Goods,Too early type box.,0.0,0.35,Consulting
44,27,Jimenez-Reed,INV9264,2024-01-05,2024-03-05,2024-03-05,16254.5,Check,EUR,Services,Training people major maybe.,0.0,-0.01,Manufacturing
45,23,Thompson LLC,INV3056,2024-02-11,2024-03-27,2024-03-27,11586.24,Wire Transfer,USD,Consulting,Pay like east room.,0.0,-0.91,Consulting
46,61,Cunningham-Howard,INV2791,2023-01-19,2023-03-25,2023-03-25,4014.79,Wire Transfer,USD,Services,Year while sister sit care price true budget.,0.0,0.95,Healthcare
47,47,Roach Ltd,INV2455,2023-12-12,2024-02-05,2024-02-05,8520.36,Check,GBP,Goods,Tough court several window candidate.,3.48,-0.25,Consulting
48,94,"Smith, Owen and Barry",INV3381,2023-08-21,2023-09-15,2023-09-22,12856.26,ACH,GBP,Goods,Yard wide process son.,0.0,-0.6,Manufacturing
49,54,Hawkins PLC,INV2626,2023-08-23,2023-09-17,2023-09-17,10892.95,ACH,EUR,Services,View leg over able.,0.0,0.91,Consulting
50,84,"Gibbs, Calderon and Larson",INV9991,2023-03-13,2023-04-17,2023-04-17,13321.68,Credit Card,USD,Consulting,Left throughout feel scientist everybody walk sense.,0.0,-0.36,Healthcare
51,96,Bishop and Sons,INV8995,2023-03-20,2023-04-14,2023-04-14,7562.9,Wire Transfer,EUR,Goods,Population at discover number example do at huge.,0.0,-0.25,Manufacturing
52,13,"Faulkner, Mccormick and English",INV8052,2023-01-25,2023-02-24,2023-03-01,10476.28,Wire Transfer,EUR,Services,Imagine smile city approach animal later goal business.,4.6,-0.83,Manufacturing
53,32,West Inc,INV5032,2023-10-08,2023-11-07,2023-11-07,9352.03,ACH,USD,Consulting,Sure beat girl just.,0.0,-0.78,IT Services
54,77,Montgomery-Smith,INV5989,2023-04-22,2023-06-06,2023-06-06,6889.59,Credit Card,GBP,Services,Receive western less few between.,0.0,0.28,Consulting
55,1,Gibson-Patterson,INV8160,2023-04-16,2023-06-15,2023-06-24,13459.97,Check,USD,Goods,Week hope become kitchen she story.,4.0,-0.61,Manufacturing
56,4,"Sanchez, Hopkins and Burns",INV4583,2023-09-23,2023-11-27,2023-11-27,8987.13,Credit Card,GBP,Goods,Tell expert form ahead measure.,0.0,0.35,Consulting
57,31,Hayes-Houston,INV8108,2023-11-09,2024-01-03,2024-01-11,14886.06,ACH,EUR,Consulting,Show behavior ten.,1.57,-0.66,Manufacturing
58,29,Moore Inc,INV2346,2023-12-04,2024-01-13,2024-01-13,14413.7,Check,USD,Goods,Hand network pressure forget central surface.,0.0,-0.06,Manufacturing
59,92,Cortez PLC,INV8685,2024-01-07,2024-03-12,2024-03-12,7696.97,Wire Transfer,GBP,Consulting,Tough table nice but change fear trouble.,3.13,0.08,Consulting
60,72,"Conner, Smith and Simon",INV8716,2023-09-10,2023-10-10,2023-10-10,7980.44,ACH,GBP,Consulting,But dinner she magazine arm response.,0.0,-0.29,Retail
61,99,Harris and Sons,INV4448,2023-05-26,2023-06-30,2023-07-07,5259.84,Check,GBP,Goods,Carry tax large above bed few week.,0.0,0.14,Retail
62,55,"Stevens, Cunningham and Green",INV0213,2023-09-25,2023-10-20,2023-10-20,3855.33,Wire Transfer,USD,Goods,Prevent manage one could.,1.84,0.97,Retail
63,22,Avery-Smith,INV0692,2023-09-28,2023-11-02,2023-11-02,11152.74,Credit Card,USD,Goods,Assume color expert more artist.,0.0,-0.86,Consulting
64,98,"King, Clarke and Sanchez",INV2970,2023-11-20,2024-01-14,2024-01-14,17408.54,Credit Card,GBP,Consulting,Writer rise common stand middle between.,0.0,0.68,Healthcare
65,83,Vasquez Inc,INV9110,2023-02-24,2023-03-31,2023-03-31,13051.0,Credit Card,EUR,Goods,Without blue treat up technology whose.,4.03,0.41,Healthcare
66,78,"Hensley, Schmidt and Mcdonald",INV1763,2023-07-29,2023-09-27,2023-10-09,6616.14,Credit Card,USD,Services,Often wind remember total his although population.,1.7,0.68,Retail
67,65,Mendoza-Burke,INV3282,2023-12-30,2024-02-13,2024-02-13,13851.2,Check,USD,Consulting,Water sister option music rise true field.,4.6,0.51,Manufacturing
68,84,"Gibbs, Calderon and Larson",INV0419,2024-02-28,2024-03-24,2024-04-01,17056.62,ACH,USD,Services,Worry act simply particular.,0.0,0.86,Healthcare
69,100,"Walsh, Gomez and Meza",INV9251,2023-07-25,2023-09-28,2023-09-28,7663.89,Check,GBP,Services,Certain behavior church animal election.,0.0,-0.38,IT Services
70,48,"Smith, Powell and Hernandez",INV6938,2023-10-07,2023-11-01,2023-11-01,2753.78,Check,GBP,Consulting,Spring mind allow sure serve pick catch.,0.0,-0.88,Retail
71,90,Lara PLC,INV8304,2023-11-23,2023-12-18,2023-12-20,7927.6,Wire Transfer,USD,Consulting,Score decide continue shoulder suddenly.,2.94,0.88,IT Services
72,62,Campbell-Stewart,INV1689,2024-02-28,2024-04-03,2024-04-03,10946.76,ACH,GBP,Goods,Region outside gun approach class whatever first.,0.0,0.85,Healthcare
73,99,Harris and Sons,INV8165,2024-01-08,2024-02-02,2024-02-02,7683.58,Credit Card,EUR,Services,Cultural political shake responsibility detail.,1.71,0.93,Retail
74,34,Scott-Butler,INV9845,2023-08-19,2023-09-18,2023-09-18,3977.0,ACH,EUR,Goods,Democratic various sing some respond.,2.42,0.38,Retail
75,83,Vasquez Inc,INV6011,2023-08-09,2023-09-13,2023-09-15,9942.55,Wire Transfer,EUR,Services,Save up reality newspaper movement nice wish.,0.0,-0.22,Healthcare
76,6,"Suarez, Cherry and Ramirez",INV6624,2023-01-27,2023-02-26,2023-03-01,5596.48,Check,GBP,Goods,Provide before person current.,0.0,0.15,Retail
77,70,"Knight, Wilson and Pennington",INV7019,2023-03-06,2023-04-25,2023-04-25,9298.16,Check,USD,Goods,Long cell professional blue.,0.0,0.5,Healthcare
78,56,"Bishop, Turner and Baker",INV1762,2023-12-27,2024-02-20,2024-02-20,4008.73,Credit Card,USD,Goods,Push low old street social.,0.0,0.31,Retail
79,66,Whitaker and Sons,INV8899,2023-05-12,2023-07-06,2023-07-06,10383.97,ACH,GBP,Consulting,Station she behavior summer.,4.78,0.57,Manufacturing
80,39,"Carpenter, Hamilton and Wood",INV9844,2023-09-24,2023-10-29,2023-11-04,9355.71,Wire Transfer,USD,Services,Dream girl church degree.,0.0,-0.79,Consulting
81,10,"Tucker, Morales and Smith",INV6012,2023-05-18,2023-07-22,2023-07-31,11423.82,Credit Card,EUR,Consulting,Stop reach over position kid perhaps role.,0.0,0.55,Consulting
82,34,Scott-Butler,INV7155,2023-11-27,2023-12-22,2023-12-30,6316.18,Wire Transfer,USD,Goods,Their myself group.,0.0,-0.65,Retail
83,86,Reed LLC,INV5947,2023-10-23,2023-11-17,2023-11-17,6966.59,Credit Card,GBP,Goods,Write them score he involve describe.,0.0,-0.14,Retail
84,97,Rasmussen-Pruitt,INV1905,2023-05-14,2023-06-13,2023-06-21,5217.39,Check,GBP,Goods,Kid should have behavior partner.,0.0,-0.31,Consulting
85,64,Smith PLC,INV2300,2024-02-04,2024-03-30,2024-03-31,11440.43,Check,USD,Services,Have impact model indeed officer.,4.96,0.27,Consulting
86,75,White-Thomas,INV1786,2023-03-25,2023-05-24,2023-05-24,4544.97,Wire Transfer,EUR,Services,Center spend pattern skin much get value.,0.0,-0.28,Healthcare
87,69,Mann-Fischer,INV9196,2023-01-29,2023-03-25,2023-03-25,6527.04,Credit Card,GBP,Consulting,Draw TV glass wear.,1.22,-0.31,IT Services
88,88,Thomas-Hicks,INV0991,2023-07-24,2023-09-22,2023-09-22,11479.87,Credit Card,EUR,Consulting,Course TV high say peace.,0.0,0.11,Manufacturing
89,68,Watson Inc,INV9069,2023-06-11,2023-07-11,2023-07-11,9191.8,Wire Transfer,GBP,Services,Challenge total offer station.,0.0,-0.22,Healthcare
90,79,"Brady, Edwards and Jenkins",INV6573,2023-04-27,2023-07-01,2023-07-01,4742.05,ACH,GBP,Consulting,Rather agent after part century alone.,3.13,0.35,Consulting
91,44,Rose Inc,INV2940,2024-01-19,2024-02-23,2024-02-23,4051.96,Check,EUR,Services,You ten author ask.,3.78,0.76,Consulting
92,79,"Brady, Edwards and Jenkins",INV1242,2024-01-24,2024-03-19,2024-03-22,2748.46,ACH,USD,Goods,Concern issue only site many.,0.0,0.06,Consulting
93,20,Taylor-Reyes,INV7650,2023-12-04,2024-02-07,2024-02-07,14012.51,ACH,GBP,Goods,Family understand respond agree operation per perform try.,0.0,-0.7,IT Services
94,4,"Sanchez, Hopkins and Burns",INV9449,2023-10-17,2023-12-16,2023-12-23,6292.89,Check,EUR,Goods,Watch next buy.,0.0,0.05,Consulting
95,21,"Stone, Weaver and May",INV1991,2023-04-12,2023-05-17,2023-05-17,11761.68,Check,USD,Goods,Budget crime course dark.,4.61,-0.27,Consulting
96,38,Kelly-Coleman,INV6128,2023-05-11,2023-07-10,2023-07-10,14467.2,Credit Card,EUR,Goods,Your issue herself either per sign.,0.0,0.98,Manufacturing
97,88,Thomas-Hicks,INV6875,2023-05-25,2023-07-29,2023-07-29,9123.38,Wire Transfer,USD,Goods,Happen international rate stage research.,0.0,-1.0,Manufacturing
98,20,Taylor-Reyes,INV2203,2024-03-07,2024-05-01,2024-05-06,11992.67,ACH,GBP,Consulting,Everything read measure night minute.,4.92,0.94,IT Services
99,11,"Orr, Mckinney and Meyer",INV7997,2023-01-10,2023-02-14,2023-02-14,7203.35,ACH,GBP,Goods,Respond draw really right perhaps here.,4.54,-0.33,Healthcare
100,65,Mendoza-Burke,INV5460,2024-03-20,2024-05-04,2024-05-15,10432.59,ACH,USD,Goods,Off candidate until product.,0.0,-0.85,Manufacturing
101,59,Barnes-Hall,INV4497,2023-09-11,2023-10-31,2023-10-31,7133.04,ACH,USD,Goods,History thus far TV seek.,1.55,-0.07,Consulting
102,21,"Stone, Weaver and May",INV1541,2023-05-24,2023-06-23,2023-06-23,7464.79,ACH,EUR,Consulting,Work cut choose also.,0.0,-0.52,Consulting
103,60,Stein LLC,INV9835,2024-01-13,2024-02-22,2024-02-22,7983.43,Wire Transfer,EUR,Goods,Pay walk term vote meet policy.,3.07,-0.11,Manufacturing
104,41,"Garcia, Lopez and Kaufman",INV3517,2023-02-06,2023-04-12,2023-04-12,4358.76,Check,GBP,Services,Their look across mouth training hold.,0.0,-0.36,IT Services
105,79,"Brady, Edwards and Jenkins",INV5726,2023-06-21,2023-08-15,2023-08-23,3647.16,ACH,GBP,Goods,Push even place firm fact.,4.16,-0.88,Consulting
106,67,"Stein, Melendez and Price",INV8116,2023-11-09,2024-01-08,2024-01-08,3291.07,Wire Transfer,EUR,Consulting,Discussion position sit though win.,0.0,-0.75,IT Services
107,46,Mccarthy-Moreno,INV9007,2023-05-26,2023-07-30,2023-08-07,13374.73,Check,USD,Consulting,Option type poor respond model throw onto.,1.05,-0.01,Manufacturing
108,18,"Gutierrez, Kennedy and White",INV2617,2023-03-25,2023-05-14,2023-05-14,10944.18,Wire Transfer,GBP,Goods,Agent pass system not because member way.,1.36,0.15,IT Services
109,27,Jimenez-Reed,INV3442,2023-03-15,2023-05-14,2023-05-25,11871.1,Check,GBP,Services,No step author second eat.,3.97,-0.95,Manufacturing
110,57,"Brown, Casey and Morgan",INV3807,2024-03-04,2024-04-28,2024-05-01,7467.42,Credit Card,GBP,Consulting,Short at drop.,0.0,-0.69,IT Services
111,38,Kelly-Coleman,INV6169,2023-06-19,2023-08-13,2023-08-13,11664.75,ACH,USD,Consulting,Modern test avoid seek him easy tough simple.,0.0,0.09,Manufacturing
112,31,Hayes-Houston,INV0865,2023-07-07,2023-09-05,2023-09-16,14563.64,Wire Transfer,USD,Services,Sometimes wide develop also from number difference.,0.0,-0.05,Manufacturing
113,59,Barnes-Hall,INV7745,2023-08-06,2023-09-20,2023-09-23,8713.41,Check,USD,Services,Mother husband black garden outside practice between.,2.57,0.59,Consulting
114,47,Roach Ltd,INV8234,2024-03-21,2024-05-20,2024-05-20,7613.94,Credit Card,USD,Consulting,These others along world country already would when.,0.0,0.9,Consulting
115,95,"Young, Lee and Pacheco",INV9254,2023-06-18,2023-08-12,2023-08-20,5292.83,ACH,GBP,Services,Face character song such down fire tax care.,0.0,-0.32,Manufacturing
116,55,"Stevens, Cunningham and Green",INV0930,2023-09-04,2023-10-09,2023-10-13,3214.08,Wire Transfer,GBP,Consulting,Piece camera wind kind president.,2.4,-0.33,Retail
117,7,Doyle LLC,INV2574,2023-01-07,2023-02-26,2023-03-06,6536.3,Wire Transfer,GBP,Services,Nothing ask film recently base age.,4.65,0.16,IT Services
118,53,Martinez and Sons,INV6051,2024-02-20,2024-04-05,2024-04-05,4560.0,Wire Transfer,USD,Goods,Financial mean project scientist force out.,4.0,-0.53,Consulting
119,90,Lara PLC,INV7026,2023-04-03,2023-04-28,2023-04-28,14728.87,Check,EUR,Services,Accept free get country success close.,3.23,0.57,IT Services
120,62,Campbell-Stewart,INV5641,2023-12-04,2023-12-29,2024-01-10,15910.9,Wire Transfer,EUR,Services,General week you fill whom outside let.,4.86,0.3,Healthcare
121,8,Campbell-Oliver,INV8418,2023-03-26,2023-04-30,2023-05-03,4919.0,Check,EUR,Goods,Performance call foreign kid sure.,1.35,-0.28,Retail
122,25,"Hester, Edwards and White",INV3957,2024-02-13,2024-04-18,2024-04-18,14411.54,Credit Card,USD,Consulting,Leg resource growth enough answer.,0.0,-0.52,IT Services
123,59,Barnes-Hall,INV4558,2024-03-27,2024-05-11,2024-05-11,5363.55,Check,EUR,Services,Have job close ready list tree.,0.0,0.44,Consulting
124,37,Hoover and Sons,INV2481,2024-02-20,2024-04-20,2024-04-20,5791.65,Check,GBP,Consulting,Water just entire place against find.,3.14,0.33,IT Services
125,89,Beasley-Sanchez,INV0940,2023-11-05,2023-12-30,2024-01-04,7317.69,Credit Card,EUR,Consulting,Region rest blue owner church still nor.,4.81,-0.63,Manufacturing
126,32,West Inc,INV7587,2023-12-29,2024-01-23,2024-01-23,8285.17,Check,USD,Goods,Success huge social laugh I this baby material.,0.0,-0.8,IT Services
127,29,Moore Inc,INV0954,2023-08-16,2023-09-30,2023-10-01,18190.49,Check,EUR,Goods,Hope tax stop customer claim ahead.,0.0,-0.02,Manufacturing
128,31,Hayes-Houston,INV7210,2023-08-01,2023-09-25,2023-09-25,16213.54,ACH,USD,Consulting,Pm very still exactly.,4.2,-0.18,Manufacturing
129,31,Hayes-Houston,INV2867,2023-02-08,2023-04-14,2023-04-22,13908.84,Check,GBP,Services,Can human future tough machine.,0.0,0.01,Manufacturing
130,71,Villarreal-Mckenzie,INV6252,2023-01-20,2023-03-11,2023-03-13,7414.45,Credit Card,EUR,Services,Agency school people allow address soldier.,3.38,0.68,Retail
131,100,"Walsh, Gomez and Meza",INV6627,2023-01-04,2023-02-28,2023-02-28,9951.56,ACH,GBP,Services,Raise five find about phone several compare.,3.15,0.79,IT Services
132,44,Rose Inc,INV8960,2023-12-15,2024-01-19,2024-01-19,10102.72,ACH,USD,Goods,Push deep market nor world teach camera sense.,0.0,-0.69,Consulting
133,28,Huynh Inc,INV3237,2023-06-01,2023-07-21,2023-07-29,15107.32,ACH,GBP,Goods,Suffer war art live family everyone manage station.,2.22,0.63,Manufacturing
134,29,Moore Inc,INV2617,2023-11-20,2023-12-30,2023-12-30,17364.34,ACH,GBP,Goods,Change space everyone church them recently expert.,0.0,-0.93,Manufacturing
135,27,Jimenez-Reed,INV1979,2023-03-14,2023-05-18,2023-05-18,14321.74,ACH,EUR,Consulting,Successful worker movie wonder benefit per note left.,2.73,0.1,Manufacturing
136,91,Hall Group,INV3743,2023-04-04,2023-05-14,2023-05-14,5112.01,Credit Card,EUR,Consulting,Better into manage.,0.0,0.79,Retail
137,23,Thompson LLC,INV6185,2023-02-12,2023-03-29,2023-03-29,8614.7,Wire Transfer,USD,Goods,Fish expect treat ever better reflect.,0.0,-0.22,Consulting
138,33,"Scott, Sanchez and James",INV1424,2023-05-13,2023-06-17,2023-06-17,12968.55,Check,GBP,Services,Dark fund party first can section generation.,4.85,-0.7,Healthcare
139,95,"Young, Lee and Pacheco",INV8095,2024-03-10,2024-05-09,2024-05-09,16414.04,ACH,GBP,Services,Program goal thousand continue him establish.,0.0,-0.68,Manufacturing
140,3,Hill Ltd,INV0816,2023-11-27,2024-01-26,2024-02-02,1188.04,Credit Card,EUR,Consulting,Strong black born suffer simple especially.,0.0,0.63,Retail
141,93,"White, Johnson and Cobb",INV1883,2023-08-07,2023-09-21,2023-09-21,5555.64,Credit Card,EUR,Consulting,Along husband manager morning.,2.13,0.67,Healthcare
142,29,Moore Inc,INV7230,2023-01-07,2023-02-26,2023-02-26,7036.5,Wire Transfer,GBP,Services,Party society response behind.,3.95,-0.4,Manufacturing
143,81,"Sanchez, Cantu and Collins",INV8383,2024-03-01,2024-04-10,2024-04-11,6252.24,ACH,EUR,Consulting,Drive history series sound.,0.0,-0.21,Healthcare
144,39,"Carpenter, Hamilton and Wood",INV2497,2023-03-18,2023-04-17,2023-04-17,9840.3,Credit Card,USD,Services,Wait offer work.,1.14,0.61,Consulting
145,25,"Hester, Edwards and White",INV5891,2023-01-01,2023-03-07,2023-03-07,4602.98,Credit Card,GBP,Goods,Every down these but still.,1.47,-0.24,IT Services
146,80,"Campbell, Ryan and Ramirez",INV8744,2023-09-10,2023-10-20,2023-10-20,14488.4,Check,GBP,Services,Hour seven way voice.,0.0,0.28,Healthcare
147,92,Cortez PLC,INV2270,2023-08-29,2023-11-02,2023-11-02,2704.11,Check,GBP,Consulting,Specific interview pretty popular music public.,0.0,0.85,Consulting
148,79,"Brady, Edwards and Jenkins",INV1225,2023-02-26,2023-05-02,2023-05-02,10898.81,Credit Card,EUR,Services,Friend by bit pay half central.,2.16,0.91,Consulting
149,43,Johnson-Roberts,INV5094,2023-10-15,2023-11-24,2023-11-24,7762.84,Check,EUR,Consulting,Know international mission task.,4.5,0.11,Retail
150,57,"Brown, Casey and Morgan",INV1788,2023-12-11,2024-02-04,2024-02-04,5518.08,Check,USD,Goods,Soon trial involve.,0.0,0.83,IT Services
151,34,Scott-Butler,INV8317,2023-10-28,2023-11-22,2023-11-22,7646.64,Wire Transfer,GBP,Goods,Term design protect truth.,3.73,0.33,Retail
152,79,"Brady, Edwards and Jenkins",INV6866,2023-10-18,2023-12-22,2023-12-28,3042.91,Check,EUR,Services,Interesting job subject better thank sense.,2.4,-0.95,Consulting
153,41,"Garcia, Lopez and Kaufman",INV7070,2023-05-21,2023-07-15,2023-07-25,10939.02,Credit Card,EUR,Consulting,Information receive ahead because couple discover step.,0.0,-0.96,IT Services
154,70,"Knight, Wilson and Pennington",INV6496,2023-12-28,2024-02-11,2024-02-11,3772.69,Check,EUR,Consulting,Spring blue catch type stage.,0.0,-0.17,Healthcare
155,87,"Brewer, Oliver and Cruz",INV6703,2023-08-06,2023-09-20,2023-09-20,10994.86,Credit Card,USD,Consulting,Visit rate measure whether someone coach.,2.91,0.8,Consulting
156,25,"Hester, Edwards and White",INV5333,2023-07-01,2023-09-04,2023-09-15,5546.36,Credit Card,GBP,Goods,Modern support president month west issue.,0.0,-0.11,IT Services
157,28,Huynh Inc,INV0755,2023-09-15,2023-10-30,2023-10-30,7411.58,ACH,USD,Goods,Parent same late budget federal about.,0.0,-0.1,Manufacturing
158,47,Roach Ltd,INV5108,2023-09-05,2023-10-30,2023-10-30,7545.17,Check,GBP,Services,Travel miss school change.,1.82,-0.75,Consulting
159,22,Avery-Smith,INV0353,2023-07-07,2023-08-01,2023-08-10,7764.78,Credit Card,GBP,Consulting,Office history check month worry.,4.01,0.23,Consulting
160,42,Marshall and Sons,INV5711,2023-03-18,2023-05-02,2023-05-05,14456.52,Check,EUR,Services,Stop listen write ready mention.,1.84,0.26,Healthcare
161,48,"Smith, Powell and Hernandez",INV2900,2023-05-07,2023-06-11,2023-06-14,7378.86,ACH,GBP,Consulting,Production half into lead hold choice.,4.08,-0.26,Retail
162,21,"Stone, Weaver and May",INV1248,2023-03-14,2023-04-13,2023-04-18,10843.96,Credit Card,GBP,Services,Seek ago understand.,0.0,0.33,Consulting
163,62,Campbell-Stewart,INV6735,2023-06-24,2023-07-29,2023-07-29,12978.3,ACH,USD,Services,Call environment paper dark feel.,4.54,-0.8,Healthcare
